Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"2615 Corbeau Dr, Irving, TX 75038",Irving,2.5,2,282000,1527,75038
"7044 Nueces Dr, Irving, TX 75039",Irving,2.5,3,529900,2875,75039
"4501 N O Connor Rd #2105, Irving, TX 75062",Irving,2,3,215000,1357,75062
"525 Ranch Trl #146, Irving, TX 75063",Irving,2,2,244900,1415,75063
"634 Brookstone Dr, Irving, TX 75039",Irving,5,4,787000,3690,75039
"5851 Shoreside Bnd, Irving, TX 75039",Irving,4.5,4,790000,3905,75039
"1245 Glenwood Dr, Irving, TX 75060",Irving,1,3,200000,1048,75060
"5223 Montego Bay Dr, Irving, TX 75038",Irving,2.5,3,420000,2442,75038
"2109 Meadow, Irving, TX 75060",Irving,1.5,3,240000,1058,75060
"2319 Dennis St, Irving, TX 75062",Irving,1,3,229000,1072,75062
"10313 Donley Dr, Irving, TX 75063",Irving,2,3,375000,2000,75063
"1702 Henderson Ct, Irving, TX 75061",Irving,3,4,290000,2286,75061
"4416 Honfleur, Irving, TX 75038",Irving,2.5,2,279000,1528,75038
"3900 Double Tree Trl, Irving, TX 75061",Irving,2,3,286500,1948,75061
"2300 Northlake Ct, Irving, TX 75038",Irving,2.5,2,218000,1176,75038
"Charleston, Irving, TX 75063",Irving,3.5,4,709900,3131,75063
"Dorsett, Irving, TX 75063",Irving,3,4,484990,2399,75063
"2720 Quail Rdg, Irving, TX 75060",Irving,2,4,300000,1717,75060
"218 Bowman St, Irving, TX 75060",Irving,1.5,3,225000,1195,75060
"8706 Drayton Dr, Irving, TX 75063",Irving,3,4,450000,2860,75063
"600 Spicewood Ct, Irving, TX 75063",Irving,2.5,2,300000,1621,75063
"1605 Driskill Dr, Irving, TX 75038",Irving,5.5,5,750000,5254,75038
"4870 Cloudcroft Ln, Irving, TX 75038",Irving,2.5,4,574900,2438,75038
"412 Huntingdon Dr, Irving, TX 75061",Irving,3,4,325000,2407,75061
"1307 Village Green Dr, Southlake, TX 76092",Southlake,4.5,5,950000,4610,76092
"4380 Saddle Ridge Rd, Southlake, TX 76092",Southlake,3.5,4,1790000,3329,76092
"317 Clariden Ranch Rd, Southlake, TX 76092",Southlake,4,5,1500000,5019,76092
"537 Austin Oaks Dr, Grapevine, TX 76051",Grapevine,2.5,3,525000,2250,76051
"701 Chatham Ct, Southlake, TX 76092",Southlake,5.5,5,1299000,5635,76092
"2925 Riverbrook Way, Southlake, TX 76092",Southlake,2,2,225000,1000,76092
"404 W Chapel Downs Dr, Southlake, TX 76092",Southlake,5,5,1679000,5987,76092
"712 Glen Abbey Dr, Southlake, TX 76092",Southlake,5,5,1750000,5473,76092
"1609 Riviera Ln, Southlake, TX 76092",Southlake,3.5,4,899900,3737,76092
"1364 Lakeview Dr, Southlake, TX 76092",Southlake,3.5,4,1225000,4997,76092
"2119 Beaver Crk, Southlake, TX 76092",Southlake,4.5,5,1650000,6860,76092
"1212 Cross Timber Dr, Southlake, TX 76092",Southlake,4,4,1624900,4955,76092
"103 Clear Brook Ct, Southlake, TX 76092",Southlake,3.5,5,725000,3819,76092
"301 Watermere Dr #210, Southlake, TX 76092",Southlake,2.5,2,340000,1805,76092
"1425 Montgomery Ln, Southlake, TX 76092",Southlake,4,4,1250000,5060,76092
"404 Mesa Ranch Ct, Southlake, TX 76092",Southlake,4.5,5,1395000,5995,76092
"1218 Whispering Ln, Southlake, TX 76092",Southlake,2.5,3,950000,2233,76092
"928 Glen Lake Dr, Southlake, TX 76092",Southlake,5.5,5,1699900,4788,76092
"1630 Bent Creek Dr, Southlake, TX 76092",Southlake,6,4,1675000,5440,76092
"1595 N Pearson Ln, Southlake, TX 76092",Southlake,3.5,4,2495000,3752,76092
"710 S White Chapel Blvd, Southlake, TX 76092",Southlake,7.5,7,4998000,10986,76092
"309 Augusta Ct, Southlake, TX 76092",Southlake,5,4,1725000,6550,76092
"1805 Castle Ct, Grapevine, TX 76051",Grapevine,3.5,3,599000,2873,76051
"387 Watermere Dr, Southlake, TX 76092",Southlake,3,2,599000,2453,76092
"402 Wickham Ln, Southlake, TX 76092",Southlake,4,5,1100000,4407,76092
"405 Jackson Sq, Southlake, TX 76092",Southlake,5.5,6,2000000,5345,76092
"865 W Dove Rd, Southlake, TX 76092",Southlake,5.5,5,3400000,6316,76092
"301 Watermere Dr #420, Southlake, TX 76092",Southlake,2.5,3,439000,2022,76092
"1417 Eagle Bnd, Southlake, TX 76092",Southlake,5.5,5,2100000,6783,76092
"1302 Wakefield Ct, Southlake, TX 76092",Southlake,4.5,5,1680000,5697,76092
"710 Whispering Wood, Southlake, TX 76092",Southlake,3.5,3,950000,3872,76092
"4408 Saddleback Ln, Southlake, TX 76092",Southlake,2,2,1320000,1000,76092
"4408 Saddleback Ln #4412, Southlake, TX 76092",Southlake,2,2,660000,1000,76092
"4408 Saddleback Ln #4408, Southlake, TX 76092",Southlake,2,2,660000,1000,76092
"350 Central Ave #207, Southlake, TX 76092",Southlake,2,2,1040000,1565,76092
"1201 Cypress Creek Cir, Southlake, TX 76092",Southlake,3.5,5,1195000,5374,76092
"509 Boulder Dr, Southlake, TX 76092",Southlake,4.5,5,1849000,6023,76092
"3125 Florence Rd, Southlake, TX 76092",Southlake,5,4,2998000,6755,76092
"4608 Saddleback Ln, Southlake, TX 76092",Southlake,2,2,995000,1000,76092
"4504 Saddleback Ln, Southlake, TX 76092",Southlake,2,2,675000,1000,76092
"4317 Saddleback Ln, Southlake, TX 76092",Southlake,2,2,675000,1000,76092
"6011 Crimson Dr, McKinney, TX 75072",McKinney,3,4,565000,2953,75072
"7800 Linksview Dr, McKinney, TX 75072",McKinney,4.5,5,674962,4379,75072
"5320 Bear Valley Dr, McKinney, TX 75071",McKinney,2,3,360000,2122,75071
"809 Baker St, McKinney, TX 75069",McKinney,2.5,3,534900,2409,75069
"8605 Palermo Way, McKinney, TX 75071",McKinney,4.5,5,699990,4349,75071
"3617 Rand Creek Trl, McKinney, TX 75070",McKinney,2,3,295000,1342,75070
"2504 Barranca Way, McKinney, TX 75069",McKinney,2,3,375000,1946,75069
"813 Chapel Hill Ln, McKinney, TX 75069",McKinney,3,3,499900,2726,75069
"9204 Chesapeake Ln, McKinney, TX 75071",McKinney,2,3,300000,1826,75071
"5200 Sutton Cir #3101, McKinney, TX 75070",McKinney,3,3,480000,2893,75070
"3300 Ski Lift Ct, McKinney, TX 75070",McKinney,3.5,4,550000,3228,75070
"5005 Raincrest Dr, McKinney, TX 75071",McKinney,2,3,350000,2000,75071
"1208 SCENIC HILLS Dr, McKinney, TX 75071",McKinney,2.5,4,349000,2711,75071
"4305 Rancho Del Norte Trl, McKinney, TX 75070",McKinney,2.5,4,350000,2547,75070
"903 W Josephine St, McKinney, TX 75069",McKinney,3,5,354900,2600,75069
"403 E Standifer St, McKinney, TX 75069",McKinney,2,5,350000,2137,75069
"1205 Old Bridge Ct, McKinney, TX 75072",McKinney,3.5,4,650000,3702,75072
"2309 Leslie Ln, McKinney, TX 75072",McKinney,4,5,700000,3997,75072
"6909 Frying Pan Dr, McKinney, TX 75070",McKinney,2.5,3,460000,2326,75070
"1916 Abbeygale Dr, McKinney, TX 75071",McKinney,3,4,445000,2949,75071
"2910 Twin Eagles Dr, Celina, TX 75009",Celina,4,4,950000,4109,75009
"5620 Vineyard Ln, McKinney, TX 75070",McKinney,2,4,395000,2224,75070
"5433 Buckland Dr, McKinney, TX 75070",McKinney,2.5,4,399000,2773,75070
"4020 Deer Lake Dr, McKinney, TX 75071",McKinney,2.5,3,438000,2536,75071
"2848 Fair Timber Way, McKinney, TX 75071",McKinney,3.5,5,399990,2972,75071
"5516 Ripasso St, McKinney, TX 75070",McKinney,3,4,450000,2967,75070
"1213 Big Bend Dr, McKinney, TX 75069",McKinney,2,3,285000,1406,75069
"2604 Golfview Dr, McKinney, TX 75069",McKinney,2.5,4,429900,3078,75069
"9824 Hedge Bell Dr, McKinney, TX 75072",McKinney,2,3,329900,1924,75072
"2513 Sunnyside Dr, McKinney, TX 75071",McKinney,3,4,419900,2517,75071
"6920 Wind Row Dr, McKinney, TX 75070",McKinney,2.5,3,300000,2011,75070
"9737 Water Tree Dr, McKinney, TX 75072",McKinney,3,4,385000,2398,75072
"3010 Deer Trl, McKinney, TX 75071",McKinney,2.5,4,320000,2080,75071
"1409 Eastbrook Dr, McKinney, TX 75071",McKinney,2,3,369900,1896,75071
"1505 Canyon Wren Dr, McKinney, TX 75071",McKinney,2,3,449000,2241,75071
"1802 Forest Hl, McKinney, TX 75072",McKinney,3,4,670000,3700,75072
"2150 Fm 546, McKinney, TX 75069",McKinney,2,3,300000,1621,75069
"2515 Shadow Lane Dr, McKinney, TX 75072",McKinney,2,3,336000,1982,75072
"2322 Brookview Dr, McKinney, TX 75072",McKinney,2,3,285000,1171,75072
"5002 Quail Ridge Dr, McKinney, TX 75072",McKinney,2,2,269000,1527,75072
"9913 Beaver Dam Ln, McKinney, TX 75071",McKinney,2.5,3,359900,1826,75071
"1216 Woodvale Dr, Bedford, TX 76021",Bedford,2,4,450000,2654,76021
"4000 Windview Dr, Colleyville, TX 76034",Colleyville,2.5,3,485000,2548,76034
"5804 Bryton Ct, Colleyville, TX 76034",Colleyville,4,4,925000,3644,76034
"3900 Magnolia Ct, Colleyville, TX 76034",Colleyville,3,4,515000,2762,76034
"6717 St Moritz Pkwy, Colleyville, TX 76034",Colleyville,5,5,1089000,5122,76034
"728 Huntwich Dr, Bedford, TX 76021",Bedford,2,3,319900,1865,76021
"4704 Bransford Rd, Colleyville, TX 76034",Colleyville,1.5,2,550000,1515,76034
"4801 Melrose Park Dr, Colleyville, TX 76034",Colleyville,4,5,689000,4102,76034
"1008 Michael Sean Ct, Bedford, TX 76021",Bedford,3,5,529900,2692,76021
"6905 Glenview Ln, Colleyville, TX 76034",Colleyville,4,5,645000,3583,76034
"3764 Shumard Oak Ln, Colleyville, TX 76034",Colleyville,3,4,600000,2980,76034
"2728 Woodbridge Dr, Hurst, TX 76054",Hurst,3.5,4,450000,3151,76054
"5302 Cottonwood Ct, Colleyville, TX 76034",Colleyville,5.5,5,850000,5309,76034
"4005 Allendale St, Colleyville, TX 76034",Colleyville,3,4,500000,2294,76034
"4601 Winewood Ct, Colleyville, TX 76034",Colleyville,5.5,5,1950000,6156,76034
"4005 Mockingbird Ln, Colleyville, TX 76034",Colleyville,5,5,850000,4377,76034
"5701 Ponderosa St, Colleyville, TX 76034",Colleyville,5,5,1100000,4924,76034
"6407 Meade Dr, Colleyville, TX 76034",Colleyville,3,4,712500,3584,76034
